,X,Y,value
2163,25.0,64.0,9.5
2164,25.0,65.0,9.5
2165,25.0,66.0,9.5
2166,25.0,67.0,9.5
2167,25.0,68.0,9.5
2168,25.0,69.0,9.5
2169,25.0,70.0,9.5
2170,25.0,71.0,9.5
2171,25.0,72.0,9.5
2172,25.0,73.0,9.5
2173,25.0,74.0,9.5
2174,25.0,75.0,9.5
2175,25.0,76.0,9.5
2176,25.0,77.0,9.5
2177,25.0,78.0,9.5
2178,25.0,79.0,9.5
2179,25.0,80.0,9.5
2180,25.0,81.0,9.5
2181,25.0,82.0,9.5
2182,25.0,83.0,9.5
2183,25.0,84.0,9.5
2184,25.0,85.0,9.5
2185,25.0,86.0,9.5
2186,25.0,87.0,9.5
2187,25.0,88.0,9.5
2188,25.0,89.0,9.5
2189,25.0,90.0,9.5
2190,25.0,91.0,9.5
2191,25.0,92.0,9.5
2192,25.0,93.0,9.5
2193,25.0,94.0,9.5
2194,25.0,95.0,9.5
2195,25.0,96.0,9.5
2196,25.0,97.0,9.5
2197,25.0,98.0,9.5
2198,25.0,99.0,9.5
2199,25.0,100.0,9.5
2200,26.0,1.0,10.397903267223295
2201,26.0,2.0,10.464774719219921
2202,26.0,3.0,10.425362902598588
2203,26.0,4.0,10.449306342476152
2204,26.0,5.0,10.410879051144306
2205,26.0,6.0,10.3833527734092
2206,26.0,7.0,10.475925037187736
2207,26.0,8.0,10.475931136073546
2208,26.0,9.0,10.503239116404401
2209,26.0,10.0,10.503238078476976
2210,26.0,11.0,10.462546614099608
2211,26.0,12.0,10.503407453975804
2212,26.0,13.0,10.503334139862234
2213,26.0,14.0,10.503419462699089
2214,26.0,15.0,10.503263921500924
2215,26.0,16.0,9.5
2216,26.0,17.0,10.503230236323834
2217,26.0,18.0,10.503230236323834
2218,26.0,19.0,9.5
2219,26.0,20.0,9.5
2220,26.0,21.0,9.5
2221,26.0,22.0,9.5
2222,26.0,23.0,9.5
2223,26.0,24.0,9.5
2224,26.0,25.0,9.5
2225,26.0,26.0,9.5
2226,26.0,27.0,9.5
2227,26.0,28.0,9.5
2228,26.0,29.0,9.5
2229,26.0,30.0,9.5
2230,26.0,31.0,9.5
2231,26.0,32.0,9.5
2232,26.0,33.0,9.5
2233,26.0,34.0,9.5
2234,26.0,35.0,9.5
2235,26.0,36.0,9.5
2236,26.0,37.0,9.5
2237,26.0,38.0,9.5
2238,26.0,39.0,9.5
2239,26.0,40.0,9.5
2240,26.0,41.0,9.5
2241,26.0,42.0,9.5
2242,26.0,43.0,9.5
2243,26.0,44.0,9.5
2244,26.0,45.0,9.5
2245,26.0,46.0,9.5
2246,26.0,47.0,9.5
2247,26.0,48.0,9.5
2248,26.0,49.0,9.5
2249,26.0,50.0,9.5
2250,26.0,51.0,9.5
2251,26.0,52.0,9.5
2252,26.0,53.0,9.5
2253,26.0,54.0,9.5
2254,26.0,55.0,9.5
2255,26.0,56.0,9.5
2256,26.0,57.0,9.5
2257,26.0,58.0,9.5
2258,26.0,59.0,9.5
2259,26.0,60.0,9.5
2260,26.0,61.0,9.5
2261,26.0,62.0,9.5
2262,26.0,63.0,9.5
2263,26.0,64.0,9.5
2264,26.0,65.0,9.5
2265,26.0,66.0,9.5
2266,26.0,67.0,9.5
2267,26.0,68.0,9.5
2268,26.0,69.0,9.5
2269,26.0,70.0,9.5
2270,26.0,71.0,9.5
2271,26.0,72.0,9.5
2272,26.0,73.0,9.5
2273,26.0,74.0,9.5
2274,26.0,75.0,9.5
2275,26.0,76.0,9.5
2276,26.0,77.0,9.5
2277,26.0,78.0,9.5
2278,26.0,79.0,9.5
2279,26.0,80.0,9.5
2280,26.0,81.0,9.5
2281,26.0,82.0,9.5
2282,26.0,83.0,9.5
2283,26.0,84.0,9.5
2284,26.0,85.0,9.5
2285,26.0,86.0,9.5
2286,26.0,87.0,9.5
2287,26.0,88.0,9.5
2288,26.0,89.0,9.5
2289,26.0,90.0,9.5
2290,26.0,91.0,9.5
2291,26.0,92.0,9.5
2292,26.0,93.0,9.5
2293,26.0,94.0,9.5
2294,26.0,95.0,9.5
2295,26.0,96.0,9.5
2296,26.0,97.0,9.5
2297,26.0,98.0,9.5
2298,26.0,99.0,9.5
2299,26.0,100.0,9.5
2300,27.0,1.0,10.360170563301068
2301,27.0,2.0,10.503249754457705
2302,27.0,3.0,10.503240947542027
2303,27.0,4.0,10.503241825261766
2304,27.0,5.0,10.503249754457705
2305,27.0,6.0,10.5032337402722
2306,27.0,7.0,10.466967294349006
2307,27.0,8.0,10.472460293133334
2308,27.0,9.0,10.477933541688671
2309,27.0,10.0,10.26258206695196
2310,27.0,11.0,10.469419541685614
2311,27.0,12.0,10.503279030944237
2312,27.0,13.0,10.503404056292526
2313,27.0,14.0,10.503375698254919
2314,27.0,15.0,10.503270159372164
2315,27.0,16.0,10.503445727935235
2316,27.0,17.0,10.456752044795055
2317,27.0,18.0,10.458953125323562
2318,27.0,19.0,9.5
2319,27.0,20.0,9.5
2320,27.0,21.0,9.5
2321,27.0,22.0,9.5
2322,27.0,23.0,9.5
2323,27.0,24.0,9.5
2324,27.0,25.0,9.5
2325,27.0,26.0,9.5
2326,27.0,27.0,9.5
2327,27.0,28.0,9.5
2328,27.0,29.0,9.5
2329,27.0,30.0,9.5
2330,27.0,31.0,9.5
2331,27.0,32.0,9.5
2332,27.0,33.0,9.5
2333,27.0,34.0,9.5
2334,27.0,35.0,9.5
2335,27.0,36.0,9.5
2336,27.0,37.0,9.5
2337,27.0,38.0,9.5
2338,27.0,39.0,9.5
2339,27.0,40.0,9.5
2340,27.0,41.0,9.5
