,X,Y,value
192,451088.0,5.0,10.503248326652589
193,451088.0,6.0,10.503230236323834
194,451088.0,7.0,10.503230889838944
195,451088.0,8.0,10.503230236323834
196,451088.0,9.0,10.503232347678807
197,451088.0,10.0,10.503230236323834
198,451088.0,11.0,10.503230236323834
199,451088.0,12.0,10.503230236323834
200,451088.0,13.0,10.503230236323834
201,451088.0,14.0,10.503230236323834
202,451088.0,15.0,10.503230236323834
203,451088.0,16.0,10.503230236323834
204,451088.0,17.0,10.503230236323834
205,451088.0,18.0,10.503230236323834
206,451088.0,19.0,10.503230236323834
207,451088.0,20.0,10.503230236323834
208,451088.0,21.0,9.5
209,451088.0,22.0,9.5
210,451088.0,23.0,10.503230236323834
211,451088.0,24.0,9.5
212,451088.0,25.0,9.5
213,451088.0,26.0,9.5
214,451088.0,27.0,9.5
215,451088.0,28.0,9.5
216,451088.0,29.0,9.5
217,451088.0,30.0,9.5
218,451088.0,31.0,9.5
219,451088.0,32.0,9.5
220,451088.0,33.0,9.5
221,451088.0,34.0,9.5
222,451088.0,35.0,9.5
223,451088.0,36.0,9.5
224,451088.0,37.0,9.5
225,451088.0,38.0,9.5
226,451088.0,39.0,9.5
227,451088.0,40.0,9.5
228,451088.0,41.0,9.5
229,451088.0,42.0,9.5
230,451088.0,43.0,9.5
231,451088.0,44.0,9.5
232,451088.0,45.0,9.5
233,451088.0,46.0,9.5
234,451088.0,47.0,9.5
235,451088.0,48.0,9.5
236,451088.0,49.0,9.5
237,451088.0,50.0,9.5
238,451088.0,51.0,9.5
239,451088.0,52.0,9.5
240,451088.0,53.0,9.5
241,451088.0,54.0,9.5
242,451088.0,55.0,9.5
243,451088.0,57.0,9.5
244,451088.0,58.0,9.5
245,451088.0,56.0,9.5
246,451088.0,59.0,9.5
247,451088.0,60.0,9.5
248,451088.0,61.0,9.5
249,451088.0,62.0,9.5
250,451088.0,63.0,9.5
251,451088.0,64.0,9.5
252,451088.0,65.0,9.5
253,451088.0,66.0,9.5
254,451088.0,67.0,9.5
255,451088.0,68.0,9.5
256,451088.0,69.0,9.5
257,451088.0,70.0,9.5
258,451088.0,71.0,9.5
259,451088.0,72.0,9.5
260,451088.0,73.0,9.5
261,451088.0,74.0,9.5
262,451088.0,75.0,9.5
263,451088.0,76.0,9.5
264,451088.0,77.0,9.5
265,451088.0,78.0,9.5
266,451088.0,79.0,9.5
267,451088.0,80.0,9.5
268,451088.0,81.0,9.5
269,451088.0,82.0,9.5
270,451088.0,83.0,9.5
271,451088.0,84.0,9.5
272,451088.0,85.0,9.5
273,451088.0,86.0,9.5
274,451088.0,87.0,9.5
275,451088.0,88.0,9.5
276,451088.0,89.0,9.5
277,451088.0,90.0,9.5
278,451088.0,91.0,9.5
279,451088.0,92.0,9.5
280,451088.0,93.0,9.5
281,451088.0,94.0,9.5
282,451088.0,95.0,9.5
283,451088.0,96.0,9.5
284,451088.0,97.0,9.5
285,451088.0,98.0,9.5
286,451088.0,99.0,9.5
287,451088.0,100.0,9.5
288,482834.0,5.0,9.5
289,482834.0,6.0,9.5
290,482834.0,7.0,9.5
291,482834.0,8.0,9.5
292,482834.0,9.0,9.5
293,482834.0,10.0,9.5
294,482834.0,11.0,9.5
295,482834.0,12.0,9.5
296,482834.0,13.0,9.5
297,482834.0,14.0,9.5
298,482834.0,15.0,9.5
299,482834.0,16.0,9.5
300,482834.0,17.0,9.5
301,482834.0,18.0,9.5
302,482834.0,19.0,9.5
303,482834.0,20.0,9.5
304,482834.0,21.0,9.5
305,482834.0,22.0,9.5
306,482834.0,23.0,9.5
307,482834.0,24.0,9.5
308,482834.0,25.0,9.5
309,482834.0,26.0,9.5
310,482834.0,27.0,9.5
311,482834.0,28.0,9.5
312,482834.0,29.0,9.5
313,482834.0,30.0,9.5
314,482834.0,31.0,9.5
315,482834.0,32.0,9.5
316,482834.0,33.0,9.5
317,482834.0,34.0,9.5
318,482834.0,35.0,9.5
319,482834.0,36.0,9.5
320,482834.0,37.0,9.5
321,482834.0,38.0,9.5
322,482834.0,39.0,9.5
323,482834.0,40.0,9.5
324,482834.0,41.0,9.5
325,482834.0,42.0,9.5
326,482834.0,43.0,9.5
327,482834.0,44.0,9.5
328,482834.0,45.0,9.5
329,482834.0,46.0,9.5
330,482834.0,47.0,9.5
331,482834.0,48.0,9.5
332,482834.0,49.0,9.5
333,482834.0,50.0,9.5
334,482834.0,51.0,9.5
335,482834.0,52.0,9.5
336,482834.0,53.0,9.5
337,482834.0,54.0,9.5
338,482834.0,55.0,9.5
339,482834.0,57.0,9.5
340,482834.0,58.0,9.5
341,482834.0,56.0,9.5
342,482834.0,59.0,9.5
343,482834.0,60.0,9.5
344,482834.0,61.0,9.5
345,482834.0,62.0,9.5
346,482834.0,63.0,9.5
347,482834.0,64.0,9.5
348,482834.0,65.0,9.5
349,482834.0,66.0,9.5
350,482834.0,67.0,9.5
351,482834.0,68.0,9.5
352,482834.0,69.0,9.5
353,482834.0,70.0,9.5
354,482834.0,71.0,9.5
355,482834.0,72.0,9.5
356,482834.0,73.0,9.5
357,482834.0,74.0,9.5
358,482834.0,75.0,9.5
359,482834.0,76.0,9.5
360,482834.0,77.0,9.5
361,482834.0,78.0,9.5
362,482834.0,79.0,9.5
363,482834.0,80.0,9.5
364,482834.0,81.0,9.5
365,482834.0,82.0,9.5
366,482834.0,83.0,9.5
367,482834.0,84.0,9.5
368,482834.0,85.0,9.5
369,482834.0,86.0,9.5
370,482834.0,87.0,9.5
371,482834.0,88.0,9.5
372,482834.0,89.0,9.5
373,482834.0,90.0,9.5
374,482834.0,91.0,9.5
375,482834.0,92.0,9.5
376,482834.0,93.0,9.5
377,482834.0,94.0,9.5
378,482834.0,95.0,9.5
379,482834.0,96.0,9.5
380,482834.0,97.0,9.5
381,482834.0,98.0,9.5
382,482834.0,99.0,9.5
383,482834.0,100.0,9.5
384,473622.0,5.0,9.5
385,473622.0,6.0,9.5
386,473622.0,7.0,9.5
387,473622.0,8.0,9.5
388,473622.0,9.0,9.5
389,473622.0,10.0,9.5
390,473622.0,11.0,9.5
391,473622.0,12.0,9.5
392,473622.0,13.0,9.5
393,473622.0,14.0,9.5
394,473622.0,15.0,9.5
395,473622.0,16.0,9.5
396,473622.0,17.0,9.5
397,473622.0,18.0,9.5
398,473622.0,19.0,9.5
