,X,Y,value
195,4.0,16.0,9.5
196,4.0,17.0,9.5
197,4.0,18.0,9.5
198,4.0,19.0,9.5
199,4.0,20.0,9.5
200,4.0,21.0,9.5
201,4.0,22.0,9.5
202,4.0,23.0,9.5
203,4.0,24.0,9.5
204,4.0,25.0,9.5
205,4.0,26.0,9.5
206,4.0,27.0,9.5
207,4.0,28.0,9.5
208,4.0,29.0,9.5
209,4.0,30.0,9.5
210,4.0,31.0,9.5
211,4.0,32.0,9.5
212,4.0,33.0,9.5
213,4.0,34.0,9.5
214,4.0,35.0,9.5
215,4.0,36.0,9.5
216,4.0,37.0,9.5
217,4.0,38.0,9.5
218,4.0,39.0,9.5
219,4.0,40.0,9.5
220,4.0,41.0,9.5
221,4.0,42.0,9.5
222,4.0,43.0,9.5
223,4.0,44.0,9.5
224,4.0,45.0,9.5
225,4.0,46.0,9.5
226,4.0,47.0,9.5
227,4.0,48.0,9.5
228,4.0,49.0,9.5
229,4.0,50.0,9.5
230,4.0,51.0,9.5
231,4.0,52.0,9.5
232,4.0,53.0,9.5
233,4.0,54.0,9.5
234,4.0,55.0,9.5
235,4.0,56.0,9.5
236,4.0,57.0,9.5
237,4.0,58.0,9.5
238,4.0,59.0,9.5
239,4.0,60.0,9.5
240,5.0,1.0,9.5
241,5.0,2.0,9.5
242,5.0,3.0,9.5
243,5.0,4.0,9.5
244,5.0,5.0,10.300156679922587
245,5.0,6.0,10.349924482802386
246,5.0,7.0,10.393736506115793
247,5.0,8.0,10.379304460221924
248,5.0,9.0,10.388274707366302
249,5.0,10.0,9.5
250,5.0,11.0,9.5
251,5.0,12.0,9.5
252,5.0,13.0,9.5
253,5.0,14.0,9.5
254,5.0,15.0,9.5
255,5.0,16.0,9.5
256,5.0,17.0,9.5
257,5.0,18.0,9.5
258,5.0,19.0,9.5
259,5.0,20.0,9.5
260,5.0,21.0,9.5
261,5.0,22.0,9.5
262,5.0,23.0,9.5
263,5.0,24.0,9.5
264,5.0,25.0,9.5
265,5.0,26.0,9.5
266,5.0,27.0,9.5
267,5.0,28.0,9.5
268,5.0,29.0,9.5
269,5.0,30.0,9.5
270,5.0,31.0,9.5
271,5.0,32.0,9.5
272,5.0,33.0,9.5
273,5.0,34.0,9.5
274,5.0,35.0,9.5
275,5.0,36.0,9.5
276,5.0,37.0,9.5
277,5.0,38.0,9.5
278,5.0,39.0,9.5
279,5.0,40.0,9.5
280,5.0,41.0,9.5
281,5.0,42.0,9.5
282,5.0,43.0,9.5
283,5.0,44.0,9.5
284,5.0,45.0,9.5
285,5.0,46.0,9.5
286,5.0,47.0,9.5
287,5.0,48.0,9.5
288,5.0,49.0,9.5
289,5.0,50.0,9.5
290,5.0,51.0,9.5
291,5.0,52.0,9.5
292,5.0,53.0,9.5
293,5.0,54.0,9.5
294,5.0,55.0,9.5
295,5.0,56.0,9.5
296,5.0,57.0,9.5
297,5.0,58.0,9.5
298,5.0,59.0,9.5
299,5.0,60.0,9.5
300,6.0,1.0,9.5
301,6.0,2.0,9.5
302,6.0,3.0,9.5
303,6.0,4.0,9.5
304,6.0,5.0,9.5
305,6.0,6.0,10.32662916813392
306,6.0,7.0,10.362359619511922
307,6.0,8.0,10.432997349748986
308,6.0,9.0,10.403254636373953
309,6.0,10.0,10.44441967873657
310,6.0,11.0,10.356831876115384
311,6.0,12.0,9.5
312,6.0,13.0,9.5
313,6.0,14.0,9.5
314,6.0,15.0,9.5
315,6.0,16.0,9.5
316,6.0,17.0,9.5
317,6.0,18.0,9.5
318,6.0,19.0,9.5
319,6.0,20.0,9.5
320,6.0,21.0,9.5
321,6.0,22.0,9.5
322,6.0,23.0,9.5
323,6.0,24.0,9.5
324,6.0,25.0,9.5
325,6.0,26.0,9.5
326,6.0,27.0,9.5
327,6.0,28.0,9.5
328,6.0,29.0,9.5
329,6.0,30.0,9.5
330,6.0,31.0,9.5
331,6.0,32.0,9.5
332,6.0,33.0,9.5
333,6.0,34.0,9.5
334,6.0,35.0,9.5
335,6.0,36.0,9.5
336,6.0,37.0,9.5
337,6.0,38.0,9.5
338,6.0,39.0,9.5
339,6.0,40.0,9.5
340,6.0,41.0,9.5
341,6.0,42.0,9.5
342,6.0,43.0,9.5
343,6.0,44.0,9.5
344,6.0,45.0,9.5
345,6.0,46.0,9.5
346,6.0,47.0,9.5
347,6.0,48.0,9.5
348,6.0,49.0,9.5
349,6.0,50.0,9.5
350,6.0,51.0,9.5
351,6.0,52.0,9.5
352,6.0,53.0,9.5
353,6.0,54.0,9.5
354,6.0,55.0,9.5
355,6.0,56.0,9.5
356,6.0,57.0,9.5
357,6.0,58.0,9.5
358,6.0,59.0,9.5
359,6.0,60.0,9.5
360,7.0,1.0,9.5
361,7.0,2.0,9.5
362,7.0,3.0,9.5
363,7.0,4.0,9.5
364,7.0,5.0,9.5
365,7.0,6.0,9.5
366,7.0,7.0,10.350714906470989
367,7.0,8.0,10.350469992309002
368,7.0,9.0,10.43927733455041
369,7.0,10.0,10.503328826288792
370,7.0,11.0,10.483128352002108
371,7.0,12.0,10.471485079634418
372,7.0,13.0,9.5
373,7.0,14.0,9.5
374,7.0,15.0,9.5
375,7.0,16.0,9.5
376,7.0,17.0,9.5
377,7.0,18.0,9.5
378,7.0,19.0,9.5
379,7.0,20.0,9.5
380,7.0,21.0,9.5
381,7.0,22.0,9.5
382,7.0,23.0,9.5
383,7.0,24.0,9.5
384,7.0,25.0,9.5
385,7.0,26.0,9.5
386,7.0,27.0,9.5
387,7.0,28.0,9.5
388,7.0,29.0,9.5
389,7.0,30.0,9.5
390,7.0,31.0,9.5
391,7.0,32.0,9.5
392,7.0,33.0,9.5
393,7.0,34.0,9.5
394,7.0,35.0,9.5
395,7.0,36.0,9.5
396,7.0,37.0,9.5
397,7.0,38.0,9.5
398,7.0,39.0,9.5
399,7.0,40.0,9.5
400,7.0,41.0,9.5
401,7.0,42.0,9.5
402,7.0,43.0,9.5
403,7.0,44.0,9.5
404,7.0,45.0,9.5
405,7.0,46.0,9.5
406,7.0,47.0,9.5
407,7.0,48.0,9.5
408,7.0,49.0,9.5
409,7.0,50.0,9.5
410,7.0,51.0,9.5
411,7.0,52.0,9.5
412,7.0,53.0,9.5
413,7.0,54.0,9.5
414,7.0,55.0,9.5
415,7.0,56.0,9.5
416,7.0,57.0,9.5
417,7.0,58.0,9.5
418,7.0,59.0,9.5
419,7.0,60.0,9.5
420,8.0,1.0,9.5
421,8.0,2.0,9.5
422,8.0,3.0,9.5
423,8.0,4.0,9.5
424,8.0,5.0,9.5
425,8.0,6.0,9.5
426,8.0,7.0,9.5
427,8.0,8.0,10.348339426320416
428,8.0,9.0,10.325301262022098
429,8.0,10.0,10.418366948653066
430,8.0,11.0,10.396519474067842
431,8.0,12.0,10.436205292128756
432,8.0,13.0,10.44623730193676
433,8.0,14.0,10.473674162697256
434,8.0,15.0,10.449195036791746
435,8.0,16.0,9.5
436,8.0,17.0,9.5
437,8.0,18.0,9.5
438,8.0,19.0,9.5
439,8.0,20.0,9.5
440,8.0,21.0,9.5
441,8.0,22.0,9.5
442,8.0,23.0,9.5
443,8.0,24.0,9.5
444,8.0,25.0,9.5
445,8.0,26.0,9.5
446,8.0,27.0,9.5
447,8.0,28.0,9.5
448,8.0,29.0,9.5
449,8.0,30.0,9.5
450,8.0,31.0,9.5
451,8.0,32.0,9.5
452,8.0,33.0,9.5
453,8.0,34.0,9.5
454,8.0,35.0,9.5
455,8.0,36.0,9.5
456,8.0,37.0,9.5
457,8.0,38.0,9.5
458,8.0,39.0,9.5
459,8.0,40.0,9.5
460,8.0,41.0,9.5
461,8.0,42.0,9.5
462,8.0,43.0,9.5
463,8.0,44.0,9.5
464,8.0,45.0,9.5
465,8.0,46.0,9.5
466,8.0,47.0,9.5
467,8.0,48.0,9.5
468,8.0,49.0,9.5
469,8.0,50.0,9.5
470,8.0,51.0,9.5
471,8.0,52.0,9.5
472,8.0,53.0,9.5
473,8.0,54.0,9.5
474,8.0,55.0,9.5
475,8.0,56.0,9.5
476,8.0,57.0,9.5
477,8.0,58.0,9.5
478,8.0,59.0,9.5
479,8.0,60.0,9.5
480,9.0,1.0,9.5
481,9.0,2.0,9.5
482,9.0,3.0,9.5
483,9.0,4.0,9.5
484,9.0,5.0,9.5
485,9.0,6.0,9.5
486,9.0,7.0,9.5
487,9.0,8.0,9.5
488,9.0,9.0,10.37907800635476
489,9.0,10.0,10.3854808561403
490,9.0,11.0,10.459110590733093
491,9.0,12.0,10.456170662102387
492,9.0,13.0,10.503327758302124
493,9.0,14.0,10.473466266119233
494,9.0,15.0,10.503282385486921
495,9.0,16.0,10.50323858991961
496,9.0,17.0,10.503230236323834
497,9.0,18.0,9.5
498,9.0,19.0,9.5
499,9.0,20.0,9.5
500,9.0,21.0,9.5
501,9.0,22.0,9.5
502,9.0,23.0,9.5
503,9.0,24.0,9.5
504,9.0,25.0,9.5
505,9.0,26.0,9.5
506,9.0,27.0,9.5
507,9.0,28.0,9.5
508,9.0,29.0,9.5
509,9.0,30.0,9.5
510,9.0,31.0,9.5
511,9.0,32.0,9.5
512,9.0,33.0,9.5
513,9.0,34.0,9.5
514,9.0,35.0,9.5
515,9.0,36.0,9.5
516,9.0,37.0,9.5
