,X,Y,value
198,8.0,4.0,9.5
199,8.0,5.0,9.5
200,8.0,6.0,9.5
201,8.0,7.0,9.5
202,8.0,8.0,9.5
203,8.0,9.0,9.5
204,8.0,10.0,9.5
205,8.0,11.0,9.5
206,8.0,12.0,9.5
207,8.0,13.0,9.5
208,8.0,14.0,9.5
209,8.0,15.0,9.5
210,8.0,16.0,9.5
211,8.0,17.0,9.5
212,8.0,18.0,9.5
213,8.0,19.0,9.5
214,8.0,20.0,9.5
215,8.0,21.0,9.5
216,8.0,22.0,9.5
217,8.0,23.0,9.5
218,8.0,24.0,9.5
219,8.0,25.0,9.5
220,8.0,26.0,9.5
221,8.0,27.0,9.5
222,8.0,28.0,9.5
223,8.0,29.0,9.5
224,8.0,30.0,9.5
225,8.0,31.0,9.5
226,8.0,32.0,9.5
227,8.0,33.0,9.5
228,8.0,34.0,9.5
229,8.0,35.0,9.5
230,8.0,36.0,9.5
231,8.0,37.0,9.5
232,8.0,38.0,9.5
233,8.0,39.0,9.5
234,8.0,40.0,9.5
235,8.0,41.0,9.5
236,8.0,42.0,9.5
237,8.0,43.0,9.5
238,8.0,44.0,9.5
239,8.0,45.0,9.5
240,8.0,46.0,9.5
241,8.0,47.0,9.5
242,8.0,48.0,9.5
243,8.0,49.0,9.5
244,8.0,50.0,9.5
245,8.0,51.0,9.5
246,8.0,52.0,9.5
247,8.0,53.0,9.5
248,8.0,54.0,9.5
249,8.0,55.0,9.5
250,8.0,56.0,9.5
251,8.0,57.0,9.5
252,8.0,58.0,9.5
253,8.0,59.0,9.5
254,8.0,60.0,9.5
255,8.0,61.0,9.5
256,8.0,62.0,9.5
257,8.0,63.0,9.5
258,8.0,64.0,9.5
259,8.0,65.0,9.5
260,9.0,1.0,9.810202641917524
261,9.0,2.0,10.280134717232393
262,9.0,3.0,9.867317710151953
263,9.0,4.0,9.5
264,9.0,5.0,9.5
265,9.0,6.0,9.5
266,9.0,7.0,9.5
267,9.0,8.0,9.5
268,9.0,9.0,9.5
269,9.0,10.0,9.5
270,9.0,11.0,9.5
271,9.0,12.0,9.5
272,9.0,13.0,9.5
273,9.0,14.0,9.5
274,9.0,15.0,9.5
275,9.0,16.0,9.5
276,9.0,17.0,9.5
277,9.0,18.0,9.5
278,9.0,19.0,9.5
279,9.0,20.0,9.5
280,9.0,21.0,9.5
281,9.0,22.0,9.5
282,9.0,23.0,9.5
283,9.0,24.0,9.5
284,9.0,25.0,9.5
285,9.0,26.0,9.5
286,9.0,27.0,9.5
287,9.0,28.0,9.5
288,9.0,29.0,9.5
289,9.0,30.0,9.5
290,9.0,31.0,9.5
291,9.0,32.0,9.5
292,9.0,33.0,9.5
293,9.0,34.0,9.5
294,9.0,35.0,9.5
295,9.0,36.0,9.5
296,9.0,37.0,9.5
297,9.0,38.0,9.5
298,9.0,39.0,9.5
299,9.0,40.0,9.5
300,9.0,41.0,9.5
301,9.0,42.0,9.5
302,9.0,43.0,9.5
303,9.0,44.0,9.5
304,9.0,45.0,9.5
305,9.0,46.0,9.5
306,9.0,47.0,9.5
307,9.0,48.0,9.5
308,9.0,49.0,9.5
309,9.0,50.0,9.5
310,9.0,51.0,9.5
311,9.0,52.0,9.5
312,9.0,53.0,9.5
313,9.0,54.0,9.5
314,9.0,55.0,9.5
315,9.0,56.0,9.5
316,9.0,57.0,9.5
317,9.0,58.0,9.5
318,9.0,59.0,9.5
319,9.0,60.0,9.5
320,9.0,61.0,9.5
321,9.0,62.0,9.5
322,9.0,63.0,9.5
323,9.0,64.0,9.5
324,9.0,65.0,9.5
325,10.0,1.0,9.5
326,10.0,2.0,10.293554535488125
327,10.0,3.0,10.09783831925346
328,10.0,4.0,9.5
329,10.0,5.0,9.5
330,10.0,6.0,9.5
331,10.0,7.0,9.5
332,10.0,8.0,9.5
333,10.0,9.0,9.5
334,10.0,10.0,9.5
335,10.0,11.0,9.5
336,10.0,12.0,9.5
337,10.0,13.0,9.5
338,10.0,14.0,9.5
339,10.0,15.0,9.5
340,10.0,16.0,9.5
341,10.0,17.0,9.5
342,10.0,18.0,9.5
343,10.0,19.0,9.5
344,10.0,20.0,9.5
345,10.0,21.0,9.5
346,10.0,22.0,9.5
347,10.0,23.0,9.5
348,10.0,24.0,9.5
349,10.0,25.0,9.5
350,10.0,26.0,9.5
351,10.0,27.0,9.5
352,10.0,28.0,9.5
353,10.0,29.0,9.5
354,10.0,30.0,9.5
355,10.0,31.0,9.5
356,10.0,32.0,9.5
357,10.0,33.0,9.5
358,10.0,34.0,9.5
359,10.0,35.0,9.5
360,10.0,36.0,9.5
361,10.0,37.0,9.5
362,10.0,38.0,9.5
363,10.0,39.0,9.5
364,10.0,40.0,9.5
365,10.0,41.0,9.5
366,10.0,42.0,9.5
367,10.0,43.0,9.5
368,10.0,44.0,9.5
369,10.0,45.0,9.5
370,10.0,46.0,9.5
371,10.0,47.0,9.5
372,10.0,48.0,9.5
373,10.0,49.0,9.5
374,10.0,50.0,9.5
375,10.0,51.0,9.5
376,10.0,52.0,9.5
377,10.0,53.0,9.5
378,10.0,54.0,9.5
379,10.0,55.0,9.5
380,10.0,56.0,9.5
381,10.0,57.0,9.5
382,10.0,58.0,9.5
383,10.0,59.0,9.5
384,10.0,60.0,9.5
385,10.0,61.0,9.5
386,10.0,62.0,9.5
387,10.0,63.0,9.5
388,10.0,64.0,9.5
389,10.0,65.0,9.5
390,11.0,1.0,9.5
391,11.0,2.0,10.42327329885824
392,11.0,3.0,10.117640408399794
393,11.0,4.0,10.075866731343842
394,11.0,5.0,9.5
395,11.0,6.0,9.5
396,11.0,7.0,9.5
397,11.0,8.0,9.5
398,11.0,9.0,9.5
399,11.0,10.0,9.5
400,11.0,11.0,9.5
401,11.0,12.0,9.5
402,11.0,13.0,9.5
403,11.0,14.0,9.5
404,11.0,15.0,9.5
405,11.0,16.0,9.5
406,11.0,17.0,9.5
407,11.0,18.0,9.5
408,11.0,19.0,9.5
409,11.0,20.0,9.5
410,11.0,21.0,9.5
411,11.0,22.0,9.5
412,11.0,23.0,9.5
413,11.0,24.0,9.5
414,11.0,25.0,9.5
415,11.0,26.0,9.5
416,11.0,27.0,9.5
417,11.0,28.0,9.5
418,11.0,29.0,9.5
419,11.0,30.0,9.5
420,11.0,31.0,9.5
421,11.0,32.0,9.5
422,11.0,33.0,9.5
423,11.0,34.0,9.5
424,11.0,35.0,9.5
425,11.0,36.0,9.5
426,11.0,37.0,9.5
427,11.0,38.0,9.5
428,11.0,39.0,9.5
429,11.0,40.0,9.5
430,11.0,41.0,9.5
431,11.0,42.0,9.5
432,11.0,43.0,9.5
433,11.0,44.0,9.5
434,11.0,45.0,9.5
435,11.0,46.0,9.5
436,11.0,47.0,9.5
437,11.0,48.0,9.5
438,11.0,49.0,9.5
439,11.0,50.0,9.5
440,11.0,51.0,9.5
441,11.0,52.0,9.5
442,11.0,53.0,9.5
443,11.0,54.0,9.5
444,11.0,55.0,9.5
445,11.0,56.0,9.5
446,11.0,57.0,9.5
447,11.0,58.0,9.5
448,11.0,59.0,9.5
449,11.0,60.0,9.5
450,11.0,61.0,9.5
451,11.0,62.0,9.5
452,11.0,63.0,9.5
453,11.0,64.0,9.5
454,11.0,65.0,9.5
455,12.0,1.0,9.5
456,12.0,2.0,9.5
457,12.0,3.0,9.5
458,12.0,4.0,9.861497112491302
459,12.0,5.0,9.5
460,12.0,6.0,9.5
461,12.0,7.0,9.5
462,12.0,8.0,9.5
463,12.0,9.0,9.5
464,12.0,10.0,9.5
465,12.0,11.0,9.5
466,12.0,12.0,9.5
467,12.0,13.0,9.5
468,12.0,14.0,9.5
469,12.0,15.0,9.5
470,12.0,16.0,9.5
471,12.0,17.0,9.5
472,12.0,18.0,9.5
473,12.0,19.0,9.5
474,12.0,20.0,9.5
475,12.0,21.0,9.5
476,12.0,22.0,9.5
477,12.0,23.0,9.5
478,12.0,24.0,9.5
479,12.0,25.0,9.5
480,12.0,26.0,9.5
481,12.0,27.0,9.5
482,12.0,28.0,9.5
483,12.0,29.0,9.5
484,12.0,30.0,9.5
485,12.0,31.0,9.5
486,12.0,32.0,9.5
487,12.0,33.0,9.5
488,12.0,34.0,9.5
489,12.0,35.0,9.5
490,12.0,36.0,9.5
491,12.0,37.0,9.5
492,12.0,38.0,9.5
493,12.0,39.0,9.5
494,12.0,40.0,9.5
495,12.0,41.0,9.5
496,12.0,42.0,9.5
497,12.0,43.0,9.5
498,12.0,44.0,9.5
499,12.0,45.0,9.5
500,12.0,46.0,9.5
501,12.0,47.0,9.5
502,12.0,48.0,9.5
503,12.0,49.0,9.5
504,12.0,50.0,9.5
505,12.0,51.0,9.5
506,12.0,52.0,9.5
507,12.0,53.0,9.5
508,12.0,54.0,9.5
509,12.0,55.0,9.5
510,12.0,56.0,9.5
511,12.0,57.0,9.5
512,12.0,58.0,9.5
513,12.0,59.0,9.5
514,12.0,60.0,9.5
515,12.0,61.0,9.5
516,12.0,62.0,9.5
517,12.0,63.0,9.5
518,12.0,64.0,9.5
519,12.0,65.0,9.5
520,13.0,1.0,10.37810734910353
521,13.0,2.0,10.360270843611008
522,13.0,3.0,10.397907333396192
523,13.0,4.0,10.2596639938647
524,13.0,5.0,9.5
525,13.0,6.0,9.5
526,13.0,7.0,9.5
527,13.0,8.0,9.5
528,13.0,9.0,9.5
529,13.0,10.0,9.5
530,13.0,11.0,9.5
531,13.0,12.0,9.5
532,13.0,13.0,9.5
533,13.0,14.0,9.5
534,13.0,15.0,9.5
535,13.0,16.0,9.5
536,13.0,17.0,9.5
537,13.0,18.0,9.5
538,13.0,19.0,9.5
539,13.0,20.0,9.5
540,13.0,21.0,9.5
541,13.0,22.0,9.5
542,13.0,23.0,9.5
543,13.0,24.0,9.5
544,13.0,25.0,9.5
545,13.0,26.0,9.5
546,13.0,27.0,9.5
547,13.0,28.0,9.5
548,13.0,29.0,9.5
549,13.0,30.0,9.5
550,13.0,31.0,9.5
551,13.0,32.0,9.5
552,13.0,33.0,9.5
553,13.0,34.0,9.5
554,13.0,35.0,9.5
555,13.0,36.0,9.5
556,13.0,37.0,9.5
557,13.0,38.0,9.5
558,13.0,39.0,9.5
559,13.0,40.0,9.5
560,13.0,41.0,9.5
561,13.0,42.0,9.5
562,13.0,43.0,9.5
563,13.0,44.0,9.5
564,13.0,45.0,9.5
565,13.0,46.0,9.5
566,13.0,47.0,9.5
567,13.0,48.0,9.5
568,13.0,49.0,9.5
569,13.0,50.0,9.5
570,13.0,51.0,9.5
571,13.0,52.0,9.5
572,13.0,53.0,9.5
573,13.0,54.0,9.5
574,13.0,55.0,9.5
575,13.0,56.0,9.5
576,13.0,57.0,9.5
577,13.0,58.0,9.5
578,13.0,59.0,9.5
579,13.0,60.0,9.5
580,13.0,61.0,9.5
581,13.0,62.0,9.5
582,13.0,63.0,9.5
583,13.0,64.0,9.5
584,13.0,65.0,9.5
585,14.0,1.0,9.5
586,14.0,2.0,10.453245151714633
587,14.0,3.0,10.327398686114412
588,14.0,4.0,10.36978804456256
589,14.0,5.0,9.915605499408027
590,14.0,6.0,9.5
591,14.0,7.0,9.5
592,14.0,8.0,9.5
593,14.0,9.0,9.5
594,14.0,10.0,9.5
595,14.0,11.0,9.5
596,14.0,12.0,9.5
597,14.0,13.0,9.5
598,14.0,14.0,9.5
599,14.0,15.0,9.5
600,14.0,16.0,9.5
601,14.0,17.0,9.5
602,14.0,18.0,9.5
603,14.0,19.0,9.5
604,14.0,20.0,9.5
605,14.0,21.0,9.5
606,14.0,22.0,9.5
607,14.0,23.0,9.5
608,14.0,24.0,9.5
609,14.0,25.0,9.5
610,14.0,26.0,9.5
611,14.0,27.0,9.5
612,14.0,28.0,9.5
613,14.0,29.0,9.5
614,14.0,30.0,9.5
615,14.0,31.0,9.5
616,14.0,32.0,9.5
617,14.0,33.0,9.5
618,14.0,34.0,9.5
619,14.0,35.0,9.5
620,14.0,36.0,9.5
621,14.0,37.0,9.5
622,14.0,38.0,9.5
